R1,Korluk,Jose Saramago,Kirmizi Kedi Yayinevi,5,Roman,50
P1,Var Misin? Guclu Bir Yasam Icin Oneriler,Dogan Cuceloglu,Kronik Yayinevi,1,Psikoloji,22
R2,Martin Eden,Jack London,Is Bankasi Kultur Yayinlari,3,Roman,13
R3,Seker Portakali,Vasconcelos,Can Yayinlari,127,Roman,43
P2,Sinirlar,Henry Cloud,Diyojen Yayinlari,8,Psikoloji,4
B1,Bir Dinozorun Anilari,Mina Urgan,YKY,9,Biyografi,12
B2,Bir Bilim Adaminin Romani: Mustafa Inan,Oguz Atay,Iletisim Yayinlari,7,Biyografi,8
P3,Seninle Baslamadi,Mark Wolynn,Sola Yayinlari,25,Psikoloji,34
Fa1,Harry Potter ve Felsefe Tasi,J.K. Rowling,YKY,140,Fantastik,56
T1,Bunu Herkes Bilir,Emrah Safa Gurkan,Kronik Yayinevi,12,Tarih,78
Fe1,Cesur Yeni Dunya,Aldous Huxley,Ithaki Yayinlari,26,Felsefe,21
R4,Saatleri Ayarlama Enstitusu,Ahmet Hamdi Tanpinar,Dergah Yayinlari,26,Roman,35
Fe2,Boyle Soyledi Zerdust,Nietzche,Is Bankasi Kultur Yayinlari,16,Felsefe,14
T2,Devlet-i Aliye-I,Halil Inalcik,Is Bankasi Kultur Yayinlari,59,Tarih,12
Fa2,Yuzuklerin Efendisi: Iki Kule,J.R.R. Tolkien,Metis Yayinlari,12,Fantastik,32
Fe2,Insanin Anlam Arayisi,Viktor E. Frankl,Okuyan Us Yayinlari,44,Felsefe,50
M1,Sezgisel Kumeler Kurami Matematige Giris 2,Ali Nesin,Nesin Matematik Koyu,3,Matematik,12
Fi1,Isi ve Kutle Transferi,Yunus A. cengel,Palme Yayinlari,2,Fizik,2
H1,Simdiki Cocuklar Harika,Aziz Nesin,Nesin Yayinevi,66,Hiciv,3
R5,Kirmizi Pazartesi,Gabriel Garcia Marquez,Can Yayinlari,67,Roman,2
