CS1,Discrete Mathematics and Its Applications, Kenneth H.  Rosen,McGraw-Hill Education,7,Computer Science,13
CS2,Introduction to Algorithms,Thomas H. Cormen,MIT Press,3,Computer Science,18
CS3,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,Addison Wesley,1,Computer Science,5
CS4,Introduction to Data Mining,Pang-Ning Tan,Pearson Education Limited,2,Computer Science,3
CS5,Frequent Pattern Mining,Jiawei Han,Springer,1,Computer Science,2
CS6,Database Design and Implementation,Edward Sciore,Wiley,1,Computer Science,10
CS7,Introduction to the Theory of Computation,Michael Sipser,Course Technology,3,Computer Science,8
CS8,Operating System Concepts,Abraham Silberschatz,Wiley,10,Computer Science,5
CS9,Computer Architecture: A Quantitative Approach,John L. Hennessy,Morgan Kaufmann Publishers,5,Computer Science,9
CS10,Association Rule Hiding for Data Mining,Aris Gkoulalas,Springer,1,Computer Science,7
CS11,Data Mining Concepts and Techniques,Jiawei Han,Morgan Kaufmann Publishers,3,Computer Science,13
CS12,Building Microservices: Designing Fine-Grained Systems,Sam Newman,O'Reilly Media,1,Computer Science,11
CS13,The Pragmatic Programmer: Your Journey To Mastery,David Thomas, Addison-Wesley Professional,2,Computer Science,14
